Something went wrong while saving the Special day.,Something went wrong while saving the Special day.
Something went wrong while saving the Store.,Something went wrong while saving the Store.
Something went wrong while saving the Tag.,Something went wrong while saving the Tag.
Sort Order,Sort Order
Special day Information,Special day Information
Special day Name,Special day Name
Special Days,Special Days
State/ Province,State/ Province
State/Province,State/Province
Status,Status
Store Infomation,Store Infomation
Store Information,Store Information
Store list,Store list
Store Locator,Store Locator
Store Map,Store Map
Store Name,Store Name
Store Name,Store Name
Store Search,Store Search
Store\'s Link,Store\'s Link
Store\'s Schedule,Store\'s Schedule
Stores,Stores
Stores of Holiday,Stores of Holiday
Stores of Schedule,Stores of Schedule
Stores of Special day,Stores of Special day
Stores of Tag,Stores of Tag
Street Not Found !,Street Not Found !
Sun,Sun
Sunday,Sunday
Sunday Status,Sunday Status
Swap locations A-B,Swap locations A-B
Swap locations A-B,Swap locations A-B
Tag Information,Tag Information
Tag Name,Tag Name
The class uploader is invalid !,The class uploader is invalid !
The Holiday has been saved.,The Holiday has been saved.
The information in popup will help you to get location information of your store in Google Map faster.,The information in popup will help you to get location information of your store in Google Map faster.
The Schedule has been saved.,The Schedule has been saved.
The Special day has been saved.,The Special day has been saved.
The Store has been saved.,The Store has been saved.
The Tag has been saved.,The Tag has been saved.
The url key is already exists and system can not generate it automatic. You need to specified an other url key!,The url key is already exists and system can not generate it automatic. You need to specified an other url key!
This Holiday no longer exists.,This Holiday no longer exists.
This Holiday no longer exists.,This Holiday no longer exists.
This Schedule no longer exists.,This Schedule no longer exists.
This Schedule no longer exists.,This Schedule no longer exists.
This Special day no longer exists.,This Special day no longer exists.
This Store no longer exists.,This Store no longer exists.
This Tag no longer exists.,This Tag no longer exists.
Thur,Thur
Thursday,Thursday
Thursday Status,Thursday Status
Time Schedule,Time Schedule
Title of the Store List page and Store Details pages.,Title of the Store List page and Store Details pages.
to go to page create new schedule.,to go to page create new schedule.
"To register a Facebook API key, please follow the guide <a href=""%1"">here</a>","To register a Facebook API key, please follow the guide <a href=""%1"">here</a>"
"To register a Google Map API key, please follow the guide <a href=""%1"">here</a>","To register a Google Map API key, please follow the guide <a href=""%1"">here</a>"
Tue,Tue
Tuesday,Tuesday
Tuesday Status,Tuesday Status
Unmark All,Unmark All
Unit to measure distance between store and customer.,Unit to measure distance between store and customer.
URL Key,URL Key
Used with Google Suggest to search nearest store from customer location. Max raidus is 2000.,Used with Google Suggest to search nearest store from customer location. Max raidus is 2000.
View all images of %1,View all images of %1
We can\'t find a Holiday to delete.,We can\'t find a Holiday to delete.
We can\'t find a Schedule to delete.,We can\'t find a Schedule to delete.
We can\'t find a Special day to delete.,We can\'t find a Special day to delete.
We can\'t find a Store to delete.,We can\'t find a Store to delete.
We can\'t find a Tag to delete.,We can\'t find a Tag to delete.
Wed,Wed
Wednesday,Wednesday
Wednesday Status,Wednesday Status
You deleted the Holiday.,You deleted the Holiday.
You deleted the Schedule.,You deleted the Schedule.
You deleted the Special day.,You deleted the Special day.
You deleted the Store.,You deleted the Store.
You deleted the Tag.,You deleted the Tag.
Zip Code,Zip Code
Zip Code,Zip Code
Zoom Level,Zoom Level
"
    Magento Store Locator extension allows locating stores and getting directions with Google Map integrated:<br />
        1. To add/ import stores with location, time schedule and other information, go to <strong>Store Locator</strong> -> <strong>Manage Stores</strong>.<br />
        2. To set days off for store(s), go to <strong>Store Locator</strong> -> <strong>Manage Holidays</strong>.<br />
        3. To set days with special working time for store(s), go to <strong>Store Locator</strong> -> <strong>Manage Special Days</strong>.<br />
        4. To configure Store Locator extension, go to <strong>Store Locator</strong> -> <strong>Settings</strong>.
    ","
    Magento Store Locator extension allows locating stores and getting directions with Google Map integrated:<br />
        1. To add/ import stores with location, time schedule and other information, go to <strong>Store Locator</strong> -> <strong>Manage Stores</strong>.<br />
        2. To set days off for store(s), go to <strong>Store Locator</strong> -> <strong>Manage Holidays</strong>.<br />
        3. To set days with special working time for store(s), go to <strong>Store Locator</strong> -> <strong>Manage Special Days</strong>.<br />
        4. To configure Store Locator extension, go to <strong>Store Locator</strong> -> <strong>Settings</strong>.
    "
