Notifications,Notifications
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"The notification is not exist !","The notification is not exist !"
"You have %1 unread notifications","You have %1 unread notifications"
"You have %1 new notification","You have %1 new notification"
"Mark all as read","Mark all as read"
"You have no notification","You have no notification"
"View all","View all"
