"Pending Update","Pending Update"
Approved,Approved
Unapproved,Unapproved
"This attribute value is changed but has not been approved yet.","This attribute value is changed but has not been approved yet."
"Current working value is: %1","Current working value is: %1"
"There are <strong style=""color: #ef672f"">%1</strong> products awaiting for your approval.<br /><a href=""%2"">Click here</a> to review the products.","There are <strong style=""color: #ef672f"">%1</strong> products awaiting for your approval.<br /><a href=""%2"">Click here</a> to review the products."
"Product Approval","Product Approval"
"There is a product awaiting for your approval.<br /><a href='%1'>Click here</a> to review the product.","There is a product awaiting for your approval.<br /><a href='%1'>Click here</a> to review the product."
"View Update Changes","View Update Changes"
"Tier Price","Tier Price"
Website,Website
"Customer Group","Customer Group"
Quantity,Quantity
"Customizable Options","Customizable Options"
"Custom options let customers choose the product variations they want.","Custom options let customers choose the product variations they want."
"Import Options","Import Options"
"Add Option","Add Option"
"New Option","New Option"
"Select Product","Select Product"
Import,Import
"Option Title","Option Title"
"Add Value","Add Value"
Title,Title
"Option Type","Option Type"
"-- Please select --","-- Please select --"
Required,Required
"Price Type","Price Type"
"Max Characters","Max Characters"
"Compatible File Extensions","Compatible File Extensions"
"Maximum Image Size","Maximum Image Size"
"Please leave blank if it is not an image.","Please leave blank if it is not an image."
px.,px.
%1,%1
Groups,Groups
"Double click on a group to rename it.","Double click on a group to rename it."
"Unassigned Attributes","Unassigned Attributes"
"A name is required.","A name is required."
"This group contains system attributes. Please move system attributes to another group and try again.","This group contains system attributes. Please move system attributes to another group and try again."
"Please enter a new group name.","Please enter a new group name."
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Sorry, we're unable to complete this request.","Sorry, we're unable to complete this request."
"You can't remove attributes from this attribute set.","You can't remove attributes from this attribute set."
"Store: %1","Store: %1"
Attribute,Attribute
"Current Value","Current Value"
"New Value","New Value"
"Browse to find or drag image here","Browse to find or drag image here"
"Delete image","Delete image"
Hidden,Hidden
"Alt Text","Alt Text"
Role,Role
"Image Size","Image Size"
{size},{size}
"Image Resolution","Image Resolution"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Hide from Product Page"
"Browse Files...","Browse Files..."
"We could not detect a size.","We could not detect a size."
"We don't recognize or support this file extension type.","We don't recognize or support this file extension type."
"You can't upload more than ","You can't upload more than "
"New Attribute","New Attribute"
"Insert Variable...","Insert Variable..."
"Image Detail","Image Detail"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"New Products","New Products"
"Learn More","Learn More"
"Use Default Value","Use Default Value"
"Web Site","Web Site"
"Item Price","Item Price"
"Delete Tier","Delete Tier"
"and above","and above"
Delete,Delete
"Product In Websites","Product In Websites"
"To hide an item in catalog or search results, set the status to ""Disabled"".","To hide an item in catalog or search results, set the status to ""Disabled""."
"(Copy data from: %1)","(Copy data from: %1)"
"start typing to search template","start typing to search template"
"Product online","Product online"
"Product offline","Product offline"
